これはレベル1ネット広告において、広告が表示された回数を意味し、ブラウザー上で表示された回数を示します。,2,CV,Impression,ROI
マーケティングにおける最終的な成果のことを意味します。,1,CV,CPV,ROI
投資に対して得られた利益を示す指標です。一般的に「利益÷マーケティング投資額×100」で計算されます。,3,Impression,CPV,ROI
広告経由の売上÷広告費用×100（%）で計算し、広告の費用対効果を示す値としてよく利用されます,2,Impression,ROAS,CPC
クリック単価という意味です。WEB広告ではクリックによって課金されるタイプのものがあり、この広告の単価を指します。,1,CPC,CPP,PC
インプレッション数であるユーザーへの広告の表示回数のうち、ユーザーが広告をクリックした回数の割合です。,3,CPP,CRC,CTR
新規の顧客を獲得するにあたって、1顧客あたりどれだけのマーケティングコストがかかったのかを示します。,3,CPA,COC,CTR
広告視聴1回あたりのコストを意味します。動画広告で用いられ、広告視聴単価として用いられる指標となります。,1,CPV,Impression,PV
コンバージョンにいたった流入経路だけでなく、直接CVしなかった広告に対しても、CVへの貢献度を割り当てて評価する考え方。,3,マルチ評価,フリークエンシー,アトリビューション
一般的には「バナー広告」に代表されるもので、WEBサイト上の広告枠にテキストや画像、動画などに表示される広告。,1,ディスプレイ広告,デスクトップ広告,トップ広告
