これはレベル2ID、パスワード、アドレス等のユーザー情報を一時的に保存する仕組み。自動ログイン機能等はこれが働いている。,2,オープンソース,クッキー,パーミッション
広義には、最初にたどり着いたページ。狭義には、広告にリンクさせ、独立して1ページで問い合わせやCVを促すページ。,1,LP,CPV,BS
Webサイトを構築する際に必要になる、コンテンツやレイアウトなどの設計図。,3,ユーザビリティ,マップ,ワイヤーフレーム
検索結果のうち、広告を含まないもの。自然検索。,2,クエリ,オーガニック検索,能動検索
不正かつ有害な動作をさせるために作られた悪意のあるプログラム。,3,ペイドリンク,クローラー,マルウェア
「注意→興味→調査→行動→共有」という特にインターネット上での購買心理の動き方。,1,AISAS,AISS,AIIA
行動喚起。ユーザーに行動を起こさせるために、テキストや画像で誘導すること。CVにつなげるための誘導のこと。,3,CPA,COC,CTA
Googleが推奨する、モバイルページを高速に表示させる手法。スマートフォンページに関しては表示の形が変わる場合が多い。,1,AMP,ARPU,ABM
目標達成のために必要な進捗やプロセスのうち重要なものを定量的に表した指標。重要目標達成指標。,3,KPG,KPI,KGI
ネットから実店舗への行動を促す施策や、オンラインでの接触により実店舗への行動に与えるような施策のこと。,1,O2O,B2C,O2B
